_id,AnnoA,AteneoNOME,AteneoCOD,SESSO,Isc
580,2018/2019,Casamassima - G.Degennaro,7203,M,903
581,2018/2019,Cassino,6001,F,3977
582,2018/2019,Cassino,6001,M,3375
583,2018/2019,Castellanza LIUC,1201,F,794
584,2018/2019,Castellanza LIUC,1201,M,1491
585,2018/2019,Catania,8701,F,22556
586,2018/2019,Catania,8701,M,16796
587,2018/2019,Catanzaro,7901,F,6615
588,2018/2019,Catanzaro,7901,M,4164
589,2018/2019,Chieti e Pescara,6901,F,15094
590,2018/2019,Chieti e Pescara,6901,M,8572
591,2018/2019,Enna KORE,8601,F,3159
592,2018/2019,Enna KORE,8601,M,1663
593,2018/2019,Ferrara,3801,F,11811
594,2018/2019,Ferrara,3801,M,8505
595,2018/2019,Firenze,4801,F,29906
596,2018/2019,Firenze,4801,M,21820
597,2018/2019,Firenze IUL - telematica,4804,F,201
598,2018/2019,Firenze IUL - telematica,4804,M,73
599,2018/2019,Foggia,7101,F,6427
600,2018/2019,Foggia,7101,M,3929
601,2018/2019,Genova,1001,F,16762
602,2018/2019,Genova,1001,M,13525
603,2018/2019,Insubria,1202,F,5828
604,2018/2019,Insubria,1202,M,4874
605,2018/2019,L'Aquila,6601,F,8889
606,2018/2019,L'Aquila,6601,M,7023
607,2018/2019,Macerata,4301,F,7441
608,2018/2019,Macerata,4301,M,2766
609,2018/2019,Marche,4201,F,6719
610,2018/2019,Marche,4201,M,8287
611,2018/2019,Messina,8301,F,14097
612,2018/2019,Messina,8301,M,8347
613,2018/2019,Milano,1501,F,34754
614,2018/2019,Milano,1501,M,24688
615,2018/2019,Milano Bicocca,1509,F,20258
616,2018/2019,Milano Bicocca,1509,M,12888
617,2018/2019,Milano Bocconi,1503,F,5773
618,2018/2019,Milano Bocconi,1503,M,7768
619,2018/2019,Milano Cattolica,1504,F,26170
620,2018/2019,Milano Cattolica,1504,M,13723
621,2018/2019,Milano IULM,1505,F,4453
622,2018/2019,Milano IULM,1505,M,1797
623,2018/2019,Milano Politecnico,1502,F,14859
624,2018/2019,Milano Politecnico,1502,M,29801
625,2018/2019,Milano San Raffaele,1508,F,1719
626,2018/2019,Milano San Raffaele,1508,M,1084
627,2018/2019,Modena e Reggio Emilia,3601,F,13267
628,2018/2019,Modena e Reggio Emilia,3601,M,11681
629,2018/2019,Molise,7001,F,3984
630,2018/2019,Molise,7001,M,2823
631,2018/2019,Napoli Benincasa,6304,F,7050
632,2018/2019,Napoli Benincasa,6304,M,1217
633,2018/2019,Napoli Federico II,6301,F,41127
634,2018/2019,Napoli Federico II,6301,M,33636
635,2018/2019,Napoli L'Orientale,6303,F,9227
636,2018/2019,Napoli L'Orientale,6303,M,2363
637,2018/2019,Napoli Parthenope,6302,F,4891
638,2018/2019,Napoli Parthenope,6302,M,6468
639,2018/2019,Napoli Pegaso - telematica,6307,F,15739
640,2018/2019,Napoli Pegaso - telematica,6307,M,22040
641,2018/2019,Napoli Vanvitelli,6306,F,13978
642,2018/2019,Napoli Vanvitelli,6306,M,9928
643,2018/2019,Novedrate e-Campus - telematica,1301,F,8005
644,2018/2019,Novedrate e-Campus - telematica,1301,M,7653
645,2018/2019,Padova,2801,F,31074
646,2018/2019,Padova,2801,M,27703
647,2018/2019,Palermo,8201,F,22878
648,2018/2019,Palermo,8201,M,16584
649,2018/2019,Parma,3401,F,14731
650,2018/2019,Parma,3401,M,11032
651,2018/2019,Pavia,1801,F,12808
652,2018/2019,Pavia,1801,M,10312
653,2018/2019,Perugia,5401,F,13389
654,2018/2019,Perugia,5401,M,10101
655,2018/2019,Perugia Stranieri,5403,F,671
656,2018/2019,Perugia Stranieri,5403,M,380
657,2018/2019,Piemonte Orientale,201,F,7733
658,2018/2019,Piemonte Orientale,201,M,4914
659,2018/2019,Pisa,5001,F,22719
660,2018/2019,Pisa,5001,M,21644
661,2018/2019,Reggio Calabria,8001,F,2492
662,2018/2019,Reggio Calabria,8001,M,2444
663,2018/2019,Reggio Calabria - Dante Alighieri,8003,F,641
664,2018/2019,Reggio Calabria - Dante Alighieri,8003,M,140
665,2018/2019,Roma  Mercatorum - telematica,5814,F,821
666,2018/2019,Roma  Mercatorum - telematica,5814,M,2084
667,2018/2019,Roma Biomedico,5808,F,1132
668,2018/2019,Roma Biomedico,5808,M,709
669,2018/2019,Roma Europea,5812,F,851
670,2018/2019,Roma Europea,5812,M,389
671,2018/2019,Roma Foro Italico,5806,F,555
672,2018/2019,Roma Foro Italico,5806,M,1576
673,2018/2019,Roma La Sapienza,5801,F,58313
674,2018/2019,Roma La Sapienza,5801,M,43529
675,2018/2019,Roma Link Campus,5817,F,472
676,2018/2019,Roma Link Campus,5817,M,1377
677,2018/2019,Roma LUISS,5805,F,4218
678,2018/2019,Roma LUISS,5805,M,5070
679,2018/2019,Roma LUMSA,5803,F,3977
680,2018/2019,Roma LUMSA,5803,M,1755
681,2018/2019,Roma Marconi - telematica,5810,F,4868
682,2018/2019,Roma Marconi - telematica,5810,M,4757
683,2018/2019,Roma Saint Camillus,5818,F,128
684,2018/2019,Roma Saint Camillus,5818,M,72
685,2018/2019,Roma San Raffaele - telematica,5816,F,2378
686,2018/2019,Roma San Raffaele - telematica,5816,M,3095
687,2018/2019,Roma Tor Vergata,5802,F,14533
688,2018/2019,Roma Tor Vergata,5802,M,13287
689,2018/2019,Roma Tre,5807,F,18512
690,2018/2019,Roma Tre,5807,M,12702
691,2018/2019,Roma UNICUSANO - telematica,5815,F,10124
692,2018/2019,Roma UNICUSANO - telematica,5815,M,14938
693,2018/2019,Roma UNINETTUNO - telematica,5813,F,5273
694,2018/2019,Roma UNINETTUNO - telematica,5813,M,7918
695,2018/2019,Roma UNINT,5809,F,1204
696,2018/2019,Roma UNINT,5809,M,333
697,2018/2019,Roma UNITELMA - telematica,5811,F,833
698,2018/2019,Roma UNITELMA - telematica,5811,M,916
699,2018/2019,Rozzano (MI) Humanitas University,1510,F,611
700,2018/2019,Rozzano (MI) Humanitas University,1510,M,339
701,2018/2019,Salento,7501,F,10579
702,2018/2019,Salento,7501,M,6433
703,2018/2019,Salerno,6501,F,19922
704,2018/2019,Salerno,6501,M,15430
705,2018/2019,Sannio,6201,F,2390
706,2018/2019,Sannio,6201,M,2245
707,2018/2019,Sassari,9001,F,8350
708,2018/2019,Sassari,9001,M,4891
709,2018/2019,Siena,5201,F,9264
710,2018/2019,Siena,5201,M,6415
711,2018/2019,Siena Stranieri,5202,F,1769
712,2018/2019,Siena Stranieri,5202,M,386
713,2018/2019,Teramo,6701,F,3126
714,2018/2019,Teramo,6701,M,2399
715,2018/2019,Torino,101,F,44594
716,2018/2019,Torino,101,M,28283
717,2018/2019,Torino Politecnico,102,F,9192
718,2018/2019,Torino Politecnico,102,M,23312
719,2018/2019,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,41
720,2018/2019,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,31
721,2018/2019,Trento,2201,F,8371
722,2018/2019,Trento,2201,M,8151
723,2018/2019,Trieste,3201,F,8646
724,2018/2019,Trieste,3201,M,6685
725,2018/2019,Tuscia,5601,F,3869
726,2018/2019,Tuscia,5601,M,3913
727,2018/2019,Udine,3001,F,7740
728,2018/2019,Udine,3001,M,7114
729,2018/2019,Urbino,4101,F,8837
730,2018/2019,Urbino,4101,M,5410
731,2018/2019,Venezia C Foscari,2701,F,13361
732,2018/2019,Venezia C Foscari,2701,M,7430
733,2018/2019,Venezia Iuav,2702,F,2149
734,2018/2019,Venezia Iuav,2702,M,1818
735,2018/2019,Verona,2301,F,14616
736,2018/2019,Verona,2301,M,8125
737,2017/2018,Aosta,701,F,749
738,2017/2018,Aosta,701,M,301
739,2017/2018,Bari,7201,F,27065
740,2017/2018,Bari,7201,M,16233
741,2017/2018,Bari Politecnico,7202,F,3044
742,2017/2018,Bari Politecnico,7202,M,6713
743,2017/2018,Basilicata,7601,F,3769
744,2017/2018,Basilicata,7601,M,2814
745,2017/2018,Benevento Giustino Fortunato - telematica,6202,F,281
746,2017/2018,Benevento Giustino Fortunato - telematica,6202,M,542
747,2017/2018,Bergamo,1601,F,11141
748,2017/2018,Bergamo,1601,M,6955
749,2017/2018,Bologna,3701,F,44120
750,2017/2018,Bologna,3701,M,35402
751,2017/2018,Bolzano,2101,F,2501
752,2017/2018,Bolzano,2101,M,1180
753,2017/2018,Bra Scienze Gastronomiche,401,F,161
754,2017/2018,Bra Scienze Gastronomiche,401,M,179
755,2017/2018,Brescia,1701,F,6407
756,2017/2018,Brescia,1701,M,7563
757,2017/2018,Cagliari,9201,F,14776
758,2017/2018,Cagliari,9201,M,10386
759,2017/2018,Calabria,7801,F,15103
760,2017/2018,Calabria,7801,M,10967
761,2017/2018,Camerino,4302,F,3399
762,2017/2018,Camerino,4302,M,3385
763,2017/2018,Casamassima - G.Degennaro,7203,F,603
764,2017/2018,Casamassima - G.Degennaro,7203,M,950
765,2017/2018,Cassino,6001,F,3888
766,2017/2018,Cassino,6001,M,3349
767,2017/2018,Castellanza LIUC,1201,F,745
768,2017/2018,Castellanza LIUC,1201,M,1364
769,2017/2018,Catania,8701,F,24333
770,2017/2018,Catania,8701,M,17557
771,2017/2018,Catanzaro,7901,F,6444
772,2017/2018,Catanzaro,7901,M,4153
773,2017/2018,Chieti e Pescara,6901,F,15401
774,2017/2018,Chieti e Pescara,6901,M,8800
775,2017/2018,Enna KORE,8601,F,3327
776,2017/2018,Enna KORE,8601,M,1856
777,2017/2018,Ferrara,3801,F,10553
778,2017/2018,Ferrara,3801,M,7849
779,2017/2018,Firenze,4801,F,30344
780,2017/2018,Firenze,4801,M,21413
781,2017/2018,Firenze IUL - telematica,4804,F,160
782,2017/2018,Firenze IUL - telematica,4804,M,65
783,2017/2018,Foggia,7101,F,6333
784,2017/2018,Foggia,7101,M,3859
785,2017/2018,Genova,1001,F,17468
786,2017/2018,Genova,1001,M,14497
787,2017/2018,Insubria,1202,F,5399
788,2017/2018,Insubria,1202,M,4646
789,2017/2018,L'Aquila,6601,F,9126
790,2017/2018,L'Aquila,6601,M,7096
791,2017/2018,Macerata,4301,F,7280
792,2017/2018,Macerata,4301,M,2771
793,2017/2018,Marche,4201,F,6856
794,2017/2018,Marche,4201,M,8345
795,2017/2018,Messina,8301,F,14318
796,2017/2018,Messina,8301,M,8601
797,2017/2018,Milano,1501,F,35247
798,2017/2018,Milano,1501,M,25372
799,2017/2018,Milano Bicocca,1509,F,20230
800,2017/2018,Milano Bicocca,1509,M,12948
801,2017/2018,Milano Bocconi,1503,F,5908
802,2017/2018,Milano Bocconi,1503,M,7521
803,2017/2018,Milano Cattolica,1504,F,25041
804,2017/2018,Milano Cattolica,1504,M,13454
805,2017/2018,Milano IULM,1505,F,4062
806,2017/2018,Milano IULM,1505,M,1670
807,2017/2018,Milano Politecnico,1502,F,14514
808,2017/2018,Milano Politecnico,1502,M,29175
809,2017/2018,Milano San Raffaele,1508,F,1579
810,2017/2018,Milano San Raffaele,1508,M,1022
811,2017/2018,Modena e Reggio Emilia,3601,F,12529
812,2017/2018,Modena e Reggio Emilia,3601,M,11232
813,2017/2018,Molise,7001,F,4096
814,2017/2018,Molise,7001,M,2797
815,2017/2018,Napoli Benincasa,6304,F,7013
816,2017/2018,Napoli Benincasa,6304,M,1204
817,2017/2018,Napoli Federico II,6301,F,41470
818,2017/2018,Napoli Federico II,6301,M,33787
819,2017/2018,Napoli L'Orientale,6303,F,8845
820,2017/2018,Napoli L'Orientale,6303,M,2377
821,2017/2018,Napoli Parthenope,6302,F,5228
822,2017/2018,Napoli Parthenope,6302,M,6870
823,2017/2018,Napoli Pegaso - telematica,6307,F,11240
824,2017/2018,Napoli Pegaso - telematica,6307,M,17360
825,2017/2018,Napoli Vanvitelli,6306,F,14345
826,2017/2018,Napoli Vanvitelli,6306,M,10406
827,2017/2018,Novedrate e-Campus - telematica,1301,F,5701
828,2017/2018,Novedrate e-Campus - telematica,1301,M,5679
829,2017/2018,Padova,2801,F,30765
830,2017/2018,Padova,2801,M,27295
831,2017/2018,Palermo,8201,F,22801
832,2017/2018,Palermo,8201,M,16512
833,2017/2018,Parma,3401,F,13992
834,2017/2018,Parma,3401,M,10804
835,2017/2018,Pavia,1801,F,12176
836,2017/2018,Pavia,1801,M,9835
837,2017/2018,Perugia,5401,F,13101
838,2017/2018,Perugia,5401,M,9878
839,2017/2018,Perugia Stranieri,5403,F,614
840,2017/2018,Perugia Stranieri,5403,M,321
841,2017/2018,Piemonte Orientale,201,F,7386
842,2017/2018,Piemonte Orientale,201,M,4746
843,2017/2018,Pisa,5001,F,22665
844,2017/2018,Pisa,5001,M,21643
845,2017/2018,Reggio Calabria,8001,F,2628
846,2017/2018,Reggio Calabria,8001,M,2642
847,2017/2018,Reggio Calabria - Dante Alighieri,8003,F,710
848,2017/2018,Reggio Calabria - Dante Alighieri,8003,M,151
849,2017/2018,Roma  Mercatorum - telematica,5814,F,402
850,2017/2018,Roma  Mercatorum - telematica,5814,M,1577
851,2017/2018,Roma Biomedico,5808,F,1088
852,2017/2018,Roma Biomedico,5808,M,693
853,2017/2018,Roma Europea,5812,F,667
854,2017/2018,Roma Europea,5812,M,337
855,2017/2018,Roma Foro Italico,5806,F,572
856,2017/2018,Roma Foro Italico,5806,M,1602
857,2017/2018,Roma La Sapienza,5801,F,57246
858,2017/2018,Roma La Sapienza,5801,M,43025
859,2017/2018,Roma Link Campus,5817,F,525
860,2017/2018,Roma Link Campus,5817,M,1351
861,2017/2018,Roma LUISS,5805,F,4144
862,2017/2018,Roma LUISS,5805,M,4901
863,2017/2018,Roma LUMSA,5803,F,3895
864,2017/2018,Roma LUMSA,5803,M,1746
865,2017/2018,Roma Marconi - telematica,5810,F,4403
866,2017/2018,Roma Marconi - telematica,5810,M,4757
867,2017/2018,Roma San Raffaele - telematica,5816,F,1838
868,2017/2018,Roma San Raffaele - telematica,5816,M,2399
869,2017/2018,Roma Tor Vergata,5802,F,14784
870,2017/2018,Roma Tor Vergata,5802,M,13834
871,2017/2018,Roma Tre,5807,F,18873
872,2017/2018,Roma Tre,5807,M,13084
873,2017/2018,Roma UNICUSANO - telematica,5815,F,9408
874,2017/2018,Roma UNICUSANO - telematica,5815,M,14185
875,2017/2018,Roma UNINETTUNO - telematica,5813,F,4534
876,2017/2018,Roma UNINETTUNO - telematica,5813,M,6986
877,2017/2018,Roma UNINT,5809,F,1004
878,2017/2018,Roma UNINT,5809,M,298
879,2017/2018,Roma UNITELMA - telematica,5811,F,785
880,2017/2018,Roma UNITELMA - telematica,5811,M,852
881,2017/2018,Rozzano (MI) Humanitas University,1510,F,439
882,2017/2018,Rozzano (MI) Humanitas University,1510,M,288
883,2017/2018,Salento,7501,F,10408
884,2017/2018,Salento,7501,M,6211
885,2017/2018,Salerno,6501,F,20216
886,2017/2018,Salerno,6501,M,15360
887,2017/2018,Sannio,6201,F,2490
888,2017/2018,Sannio,6201,M,2349
889,2017/2018,Sassari,9001,F,8331
890,2017/2018,Sassari,9001,M,4790
891,2017/2018,Siena,5201,F,9147
892,2017/2018,Siena,5201,M,6591
893,2017/2018,Siena Stranieri,5202,F,1670
894,2017/2018,Siena Stranieri,5202,M,401
895,2017/2018,Teramo,6701,F,3350
896,2017/2018,Teramo,6701,M,2506
897,2017/2018,Torino,101,F,43535
898,2017/2018,Torino,101,M,28062
899,2017/2018,Torino Politecnico,102,F,8998
900,2017/2018,Torino Politecnico,102,M,22904
901,2017/2018,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,54
902,2017/2018,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,45
903,2017/2018,Trento,2201,F,8192
904,2017/2018,Trento,2201,M,8065
905,2017/2018,Trieste,3201,F,8441
906,2017/2018,Trieste,3201,M,6702
907,2017/2018,Tuscia,5601,F,3957
908,2017/2018,Tuscia,5601,M,4150
909,2017/2018,Udine,3001,F,7716
910,2017/2018,Udine,3001,M,7187
911,2017/2018,Urbino,4101,F,8722
912,2017/2018,Urbino,4101,M,5423
913,2017/2018,Venezia C Foscari,2701,F,13104
914,2017/2018,Venezia C Foscari,2701,M,7224
915,2017/2018,Venezia Iuav,2702,F,2109
916,2017/2018,Venezia Iuav,2702,M,1891
917,2017/2018,Verona,2301,F,15119
918,2017/2018,Verona,2301,M,8347
919,2016/2017,Aosta,701,F,770
920,2016/2017,Aosta,701,M,289
921,2016/2017,Bari,7201,F,27664
922,2016/2017,Bari,7201,M,16686
923,2016/2017,Bari Politecnico,7202,F,3004
924,2016/2017,Bari Politecnico,7202,M,6645
925,2016/2017,Basilicata,7601,F,3835
926,2016/2017,Basilicata,7601,M,2875
927,2016/2017,Benevento Giustino Fortunato - telematica,6202,F,284
928,2016/2017,Benevento Giustino Fortunato - telematica,6202,M,497
929,2016/2017,Bergamo,1601,F,10426
930,2016/2017,Bergamo,1601,M,6374
931,2016/2017,Bologna,3701,F,43531
932,2016/2017,Bologna,3701,M,34992
933,2016/2017,Bolzano,2101,F,2246
934,2016/2017,Bolzano,2101,M,1047
935,2016/2017,Bra Scienze Gastronomiche,401,F,153
936,2016/2017,Bra Scienze Gastronomiche,401,M,166
937,2016/2017,Brescia,1701,F,6381
938,2016/2017,Brescia,1701,M,7516
939,2016/2017,Cagliari,9201,F,15376
940,2016/2017,Cagliari,9201,M,10606
941,2016/2017,Calabria,7801,F,15620
942,2016/2017,Calabria,7801,M,11072
943,2016/2017,Camerino,4302,F,3467
944,2016/2017,Camerino,4302,M,3473
945,2016/2017,Casamassima - G.Degennaro,7203,F,519
946,2016/2017,Casamassima - G.Degennaro,7203,M,848
947,2016/2017,Cassino,6001,F,4103
948,2016/2017,Cassino,6001,M,3496
949,2016/2017,Castellanza LIUC,1201,F,729
950,2016/2017,Castellanza LIUC,1201,M,1311
951,2016/2017,Catania,8701,F,25354
952,2016/2017,Catania,8701,M,17765
953,2016/2017,Catanzaro,7901,F,6247
954,2016/2017,Catanzaro,7901,M,4101
955,2016/2017,Chieti e Pescara,6901,F,15875
956,2016/2017,Chieti e Pescara,6901,M,9069
957,2016/2017,Enna KORE,8601,F,3498
958,2016/2017,Enna KORE,8601,M,2016
959,2016/2017,Ferrara,3801,F,8600
960,2016/2017,Ferrara,3801,M,6959
961,2016/2017,Firenze,4801,F,30050
962,2016/2017,Firenze,4801,M,21019
963,2016/2017,Firenze IUL - telematica,4804,F,149
964,2016/2017,Firenze IUL - telematica,4804,M,47
965,2016/2017,Foggia,7101,F,6014
966,2016/2017,Foggia,7101,M,3761
967,2016/2017,Genova,1001,F,17222
968,2016/2017,Genova,1001,M,14250
969,2016/2017,Insubria,1202,F,5059
970,2016/2017,Insubria,1202,M,4273
971,2016/2017,L'Aquila,6601,F,9617
972,2016/2017,L'Aquila,6601,M,7437
973,2016/2017,Macerata,4301,F,7295
974,2016/2017,Macerata,4301,M,2892
975,2016/2017,Marche,4201,F,6986
976,2016/2017,Marche,4201,M,8328
977,2016/2017,Messina,8301,F,14344
978,2016/2017,Messina,8301,M,8512
979,2016/2017,Milano,1501,F,34926
980,2016/2017,Milano,1501,M,24815
981,2016/2017,Milano Bicocca,1509,F,20024
982,2016/2017,Milano Bicocca,1509,M,12706
983,2016/2017,Milano Bocconi,1503,F,6121
984,2016/2017,Milano Bocconi,1503,M,7148
985,2016/2017,Milano Cattolica,1504,F,23909
986,2016/2017,Milano Cattolica,1504,M,13248
987,2016/2017,Milano IULM,1505,F,3714
988,2016/2017,Milano IULM,1505,M,1502
989,2016/2017,Milano Politecnico,1502,F,14037
990,2016/2017,Milano Politecnico,1502,M,28403
991,2016/2017,Milano San Raffaele,1508,F,1465
992,2016/2017,Milano San Raffaele,1508,M,993
993,2016/2017,Modena e Reggio Emilia,3601,F,11733
994,2016/2017,Modena e Reggio Emilia,3601,M,10427
995,2016/2017,Molise,7001,F,4085
996,2016/2017,Molise,7001,M,2851
997,2016/2017,Napoli Benincasa,6304,F,6957
998,2016/2017,Napoli Benincasa,6304,M,1171
999,2016/2017,Napoli Federico II,6301,F,42454
1000,2016/2017,Napoli Federico II,6301,M,34356
1001,2016/2017,Napoli L'Orientale,6303,F,8576
1002,2016/2017,Napoli L'Orientale,6303,M,2376
1003,2016/2017,Napoli Parthenope,6302,F,5630
1004,2016/2017,Napoli Parthenope,6302,M,7363
1005,2016/2017,Napoli Pegaso - telematica,6307,F,7237
1006,2016/2017,Napoli Pegaso - telematica,6307,M,12604
1007,2016/2017,Napoli Vanvitelli,6306,F,14798
1008,2016/2017,Napoli Vanvitelli,6306,M,10608
1009,2016/2017,Novedrate e-Campus - telematica,1301,F,4511
1010,2016/2017,Novedrate e-Campus - telematica,1301,M,4578
1011,2016/2017,Padova,2801,F,30954
1012,2016/2017,Padova,2801,M,27065
1013,2016/2017,Palermo,8201,F,23211
1014,2016/2017,Palermo,8201,M,16620
1015,2016/2017,Parma,3401,F,13395
1016,2016/2017,Parma,3401,M,10492
1017,2016/2017,Pavia,1801,F,11830
1018,2016/2017,Pavia,1801,M,9542
1019,2016/2017,Perugia,5401,F,13028
1020,2016/2017,Perugia,5401,M,9919
1021,2016/2017,Perugia Stranieri,5403,F,551
1022,2016/2017,Perugia Stranieri,5403,M,330
1023,2016/2017,Piemonte Orientale,201,F,7153
1024,2016/2017,Piemonte Orientale,201,M,4592
1025,2016/2017,Pisa,5001,F,23239
1026,2016/2017,Pisa,5001,M,21978
1027,2016/2017,Reggio Calabria,8001,F,2944
1028,2016/2017,Reggio Calabria,8001,M,2904
1029,2016/2017,Reggio Calabria - Dante Alighieri,8003,F,795
1030,2016/2017,Reggio Calabria - Dante Alighieri,8003,M,158
1031,2016/2017,Roma  Mercatorum - telematica,5814,F,228
1032,2016/2017,Roma  Mercatorum - telematica,5814,M,546
1033,2016/2017,Roma Biomedico,5808,F,1005
1034,2016/2017,Roma Biomedico,5808,M,677
1035,2016/2017,Roma Europea,5812,F,526
1036,2016/2017,Roma Europea,5812,M,314
1037,2016/2017,Roma Foro Italico,5806,F,583
1038,2016/2017,Roma Foro Italico,5806,M,1611
1039,2016/2017,Roma La Sapienza,5801,F,57488
1040,2016/2017,Roma La Sapienza,5801,M,42904
1041,2016/2017,Roma Link Campus,5817,F,549
1042,2016/2017,Roma Link Campus,5817,M,1237
1043,2016/2017,Roma LUISS,5805,F,3985
1044,2016/2017,Roma LUISS,5805,M,4685
1045,2016/2017,Roma LUMSA,5803,F,3849
1046,2016/2017,Roma LUMSA,5803,M,1767
1047,2016/2017,Roma Marconi - telematica,5810,F,4315
1048,2016/2017,Roma Marconi - telematica,5810,M,5117
1049,2016/2017,Roma San Raffaele - telematica,5816,F,1311
1050,2016/2017,Roma San Raffaele - telematica,5816,M,1743
1051,2016/2017,Roma Tor Vergata,5802,F,15128
1052,2016/2017,Roma Tor Vergata,5802,M,14422
1053,2016/2017,Roma Tre,5807,F,19078
1054,2016/2017,Roma Tre,5807,M,13343
1055,2016/2017,Roma UNICUSANO - telematica,5815,F,8275
1056,2016/2017,Roma UNICUSANO - telematica,5815,M,12465
1057,2016/2017,Roma UNINETTUNO - telematica,5813,F,4067
1058,2016/2017,Roma UNINETTUNO - telematica,5813,M,6453
1059,2016/2017,Roma UNINT,5809,F,1028
1060,2016/2017,Roma UNINT,5809,M,324
1061,2016/2017,Roma UNITELMA - telematica,5811,F,676
1062,2016/2017,Roma UNITELMA - telematica,5811,M,817
1063,2016/2017,Rozzano (MI) Humanitas University,1510,F,315
1064,2016/2017,Rozzano (MI) Humanitas University,1510,M,211
1065,2016/2017,Salento,7501,F,10455
1066,2016/2017,Salento,7501,M,6123
1067,2016/2017,Salerno,6501,F,20427
1068,2016/2017,Salerno,6501,M,14931
1069,2016/2017,Sannio,6201,F,2670
1070,2016/2017,Sannio,6201,M,2497
1071,2016/2017,Sassari,9001,F,8168
1072,2016/2017,Sassari,9001,M,4717
1073,2016/2017,Siena,5201,F,8955
1074,2016/2017,Siena,5201,M,6510
1075,2016/2017,Siena Stranieri,5202,F,1534
1076,2016/2017,Siena Stranieri,5202,M,349
1077,2016/2017,Teramo,6701,F,3537
1078,2016/2017,Teramo,6701,M,2566
1079,2016/2017,Torino,101,F,41816
1080,2016/2017,Torino,101,M,26606
1081,2016/2017,Torino Politecnico,102,F,8809
1082,2016/2017,Torino Politecnico,102,M,22439
1083,2016/2017,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,F,85
1084,2016/2017,Torrevecchia Teatina Leonardo da Vinci - telematica,6902,M,68
1085,2016/2017,Trento,2201,F,8145
1086,2016/2017,Trento,2201,M,8016
1087,2016/2017,Trieste,3201,F,8263
1088,2016/2017,Trieste,3201,M,6577
1089,2016/2017,Tuscia,5601,F,3907
1090,2016/2017,Tuscia,5601,M,4109
1091,2016/2017,Udine,3001,F,7764
1092,2016/2017,Udine,3001,M,7261
1093,2016/2017,Urbino,4101,F,8575
1094,2016/2017,Urbino,4101,M,5372
1095,2016/2017,Venezia C Foscari,2701,F,12849
1096,2016/2017,Venezia C Foscari,2701,M,6970
1097,2016/2017,Venezia Iuav,2702,F,2156
1098,2016/2017,Venezia Iuav,2702,M,1988
1099,2016/2017,Verona,2301,F,14778
1100,2016/2017,Verona,2301,M,8335
1101,2015/2016,Aosta,701,F,804
1102,2015/2016,Aosta,701,M,314
1103,2015/2016,Bari,7201,F,29208
1104,2015/2016,Bari,7201,M,17323
1105,2015/2016,Bari Politecnico,7202,F,3052
1106,2015/2016,Bari Politecnico,7202,M,6741
1107,2015/2016,Basilicata,7601,F,3959
1108,2015/2016,Basilicata,7601,M,2976
1109,2015/2016,Benevento Giustino Fortunato - telematica,6202,F,281
1110,2015/2016,Benevento Giustino Fortunato - telematica,6202,M,466
1111,2015/2016,Bergamo,1601,F,9833
1112,2015/2016,Bergamo,1601,M,5802
1113,2015/2016,Bologna,3701,F,43269
1114,2015/2016,Bologna,3701,M,34559
1115,2015/2016,Bolzano,2101,F,2071
1116,2015/2016,Bolzano,2101,M,957
1117,2015/2016,Bra Scienze Gastronomiche,401,F,167
1118,2015/2016,Bra Scienze Gastronomiche,401,M,155
1119,2015/2016,Brescia,1701,F,6511
1120,2015/2016,Brescia,1701,M,7462
1121,2015/2016,Cagliari,9201,F,15581
1122,2015/2016,Cagliari,9201,M,10653
1123,2015/2016,Calabria,7801,F,16153
1124,2015/2016,Calabria,7801,M,11217
1125,2015/2016,Camerino,4302,F,3342
1126,2015/2016,Camerino,4302,M,3126
1127,2015/2016,Casamassima - G.Degennaro,7203,F,464
1128,2015/2016,Casamassima - G.Degennaro,7203,M,773
1129,2015/2016,Cassino,6001,F,4274
1130,2015/2016,Cassino,6001,M,3556
1131,2015/2016,Castellanza LIUC,1201,F,692
1132,2015/2016,Castellanza LIUC,1201,M,1259
1133,2015/2016,Catania,8701,F,26617
1134,2015/2016,Catania,8701,M,18006
1135,2015/2016,Catanzaro,7901,F,6212
1136,2015/2016,Catanzaro,7901,M,4187
1137,2015/2016,Chieti e Pescara,6901,F,16519
1138,2015/2016,Chieti e Pescara,6901,M,9237
1139,2015/2016,Enna KORE,8601,F,3563
1140,2015/2016,Enna KORE,8601,M,2226
1141,2015/2016,Ferrara,3801,F,8453
1142,2015/2016,Ferrara,3801,M,7062
1143,2015/2016,Firenze,4801,F,29672
1144,2015/2016,Firenze,4801,M,20685
1145,2015/2016,Firenze IUL - telematica,4804,F,91
1146,2015/2016,Firenze IUL - telematica,4804,M,18
1147,2015/2016,Foggia,7101,F,5747
1148,2015/2016,Foggia,7101,M,3522
1149,2015/2016,Genova,1001,F,17185
1150,2015/2016,Genova,1001,M,14190
1151,2015/2016,Insubria,1202,F,4878
1152,2015/2016,Insubria,1202,M,3998
1153,2015/2016,L'Aquila,6601,F,10391
1154,2015/2016,L'Aquila,6601,M,7746
